seller_id,name,phone,state,district,village,crop,residue,qty_ton,land_acre,harvest_date,condition,price_ton,pickup,lat,long
S081,Akash Patil,9876543290,Maharashtra,Nagpur,Katol,Cotton,Cotton Stalk,5,3.4,2025-11-24,Dry,1600,Yes,21.2700,78.5800
S082,Rahul Shinde,9876543291,Maharashtra,Nagpur,Narkhed,Orange,Orange Residue,4,2.9,2025-11-20,Dry,1700,Yes,21.4500,78.5200
S083,Sachin Pawar,9876543292,Maharashtra,Amravati,Morshi,Maize,Maize Stover,6,3.8,2025-11-18,Dry,1900,No,21.3400,78.0100
S084,Omkar Patil,9876543293,Maharashtra,Amravati,Warud,Orange,Orange Residue,4,2.6,2025-11-19,Dry,1750,Yes,21.4700,78.2700
S085,Vikas More,9876543294,Maharashtra,Yavatmal,Pusad,Cotton,Cotton Stalk,6,3.7,2025-11-22,Dry,1700,Yes,19.9100,77.5800
S086,Deepak Deshmukh,9876543295,Maharashtra,Yavatmal,Digras,Soybean,Soybean Residue,5,3.2,2025-11-16,Dry,1650,No,20.1100,77.7200
S087,Sagar Jadhav,9876543296,Maharashtra,Chandrapur,Ballarpur,Rice,Rice Straw,6,4.1,2025-11-11,Dry,2000,Yes,19.8300,79.3400
S088,Ramesh Pawar,9876543297,Maharashtra,Chandrapur,Warora,Rice,Rice Straw,5,3.5,2025-11-10,Dry,1950,Yes,19.9800,79.2900
S089,Sunil Patil,9876543298,Maharashtra,Wardha,Hinganghat,Cotton,Cotton Stalk,6,3.6,2025-11-22,Dry,1750,Yes,20.5500,78.8400
S090,Nitin Shinde,9876543299,Maharashtra,Wardha,Arvi,Cotton,Cotton Stalk,5,3.1,2025-11-23,Dry,1700,No,20.9900,78.2300
S091,Rajesh Patil,9876543300,Maharashtra,Buldhana,Khamgaon,Soybean,Soybean Residue,5,3.3,2025-11-16,Dry,1700,Yes,20.7000,76.5600
S092,Santosh Pawar,9876543301,Maharashtra,Buldhana,Malkapur,Soybean,Soybean Residue,4,2.9,2025-11-15,Dry,1650,Yes,20.8800,76.2000
S093,Vijay More,9876543302,Maharashtra,Akola,Balapur,Soybean,Soybean Residue,5,3.2,2025-11-16,Dry,1700,Yes,20.7000,76.7700
S094,Akshay Patil,9876543303,Maharashtra,Akola,Murtijapur,Soybean,Soybean Residue,5,3.0,2025-11-16,Dry,1650,No,20.7300,76.9800
S095,Pravin Shinde,9876543304,Maharashtra,Washim,Risod,Soybean,Soybean Residue,4,2.8,2025-11-17,Dry,1650,Yes,19.9700,77.1400
S096,Tejas Pawar,9876543305,Maharashtra,Washim,Karanja,Soybean,Soybean Residue,5,3.1,2025-11-16,Dry,1700,Yes,20.4800,77.4900
S097,Manoj Patil,9876543306,Maharashtra,Parbhani,Gangakhed,Cotton,Cotton Stalk,6,3.8,2025-11-21,Dry,1750,Yes,18.9700,76.7600
S098,Sachin Deshmukh,9876543307,Maharashtra,Parbhani,Pathri,Cotton,Cotton Stalk,5,3.2,2025-11-22,Dry,1700,No,19.2600,76.4300
S099,Kiran Pawar,9876543308,Maharashtra,Jalna,Ambad,Soybean,Soybean Residue,4,2.7,2025-11-17,Dry,1650,Yes,19.6200,75.8000
S100,Rohit Jadhav,9876543309,Maharashtra,Jalna,Bhokardan,Soybean,Soybean Residue,5,3.1,2025-11-16,Dry,1700,Yes,20.2700,75.7600
S101,Ajay Patil,9876543310,Maharashtra,Aurangabad,Paithan,Maize,Maize Stover,6,3.5,2025-11-18,Dry,1900,No,19.4700,75.3800
S102,Sagar Shinde,9876543311,Maharashtra,Aurangabad,Sillod,Cotton,Cotton Stalk,6,3.7,2025-11-21,Dry,1750,Yes,20.3000,75.6500
S103,Amol Pawar,9876543312,Maharashtra,Nashik,Nandgaon,Wheat,Wheat Straw,4,2.6,2025-11-12,Dry,1800,Yes,20.3000,74.6500
S104,Nikhil Patil,9876543313,Maharashtra,Nashik,Malegaon,Wheat,Wheat Straw,4,2.7,2025-11-13,Dry,1800,Yes,20.5500,74.5300
S105,Rahul More,9876543314,Maharashtra,Pune,Junnar,Maize,Maize Stover,6,3.4,2025-11-18,Dry,1850,No,19.2000,73.8800
S106,Deepak Patil,9876543315,Maharashtra,Pune,Ambegaon,Maize,Maize Stover,6,3.6,2025-11-19,Dry,1850,Yes,19.0400,73.9200
S107,Sunil Pawar,9876543316,Maharashtra,Sangli,Palus,Sugarcane,Sugarcane Trash,8,4.5,2025-11-22,Wet,2100,Yes,17.0900,74.4500
S108,Omkar Shinde,9876543317,Maharashtra,Sangli,Atpadi,Sugarcane,Sugarcane Trash,7,4.2,2025-11-21,Wet,2050,Yes,17.4300,74.9200
S109,Santosh Patil,9876543318,Maharashtra,Solapur,Sangola,Wheat,Wheat Straw,4,2.7,2025-11-13,Dry,1750,Yes,17.4300,75.2000
S110,Akash Jadhav,9876543319,Maharashtra,Solapur,Karmala,Wheat,Wheat Straw,4,2.6,2025-11-12,Dry,1750,Yes,18.4100,75.1900
S111,Tejas Pawar,9876543320,Maharashtra,Ahmednagar,Nevasa,Maize,Maize Stover,6,3.5,2025-11-19,Dry,1900,No,19.5500,74.9200
S112,Vikas Patil,9876543321,Maharashtra,Ahmednagar,Jamkhed,Soybean,Soybean Residue,5,3.2,2025-11-16,Dry,1700,Yes,18.7200,75.3200
S113,Prakash More,9876543322,Maharashtra,Kolhapur,Kagal,Sugarcane,Sugarcane Trash,8,4.6,2025-11-23,Wet,2100,Yes,16.5800,74.3200
S114,Sachin Pawar,9876543323,Maharashtra,Kolhapur,Gaganbawada,Sugarcane,Sugarcane Trash,7,4.3,2025-11-22,Wet,2050,Yes,16.5400,73.8400
S115,Ajit Shinde,9876543324,Maharashtra,Latur,Ahmedpur,Soybean,Soybean Residue,5,3.1,2025-11-16,Dry,1700,Yes,18.7200,76.8500
S116,Nitin Pawar,9876543325,Maharashtra,Latur,Jalkot,Soybean,Soybean Residue,4,2.9,2025-11-17,Dry,1650,Yes,18.5000,77.0200
S117,Manoj Patil,9876543326,Maharashtra,Nanded,Hadgaon,Cotton,Cotton Stalk,6,3.7,2025-11-21,Dry,1750,No,19.5000,77.6500
S118,Sagar Deshmukh,9876543327,Maharashtra,Nanded,Mahur,Cotton,Cotton Stalk,5,3.3,2025-11-22,Dry,1700,Yes,19.8500,77.9200
S119,Rohit Shinde,9876543328,Maharashtra,Amravati,Daryapur,Maize,Maize Stover,6,3.6,2025-11-18,Dry,1900,Yes,20.9200,77.3300
S120,Kunal Pawar,9876543329,Maharashtra,Amravati,Achalpur,Maize,Maize Stover,6,3.5,2025-11-18,Dry,1900,No,21.2600,77.5200
